name,Market Value,age,height,position,foot,current club,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
Dan Gosling,£3.15m ,30.0,180.0,Midfielder - Central Midfield,right,AFC Bournemouth,22.0,5.0,5.0,941.0,14.0,2.0,1.0,831.0,26.0,3.0,1.0,1799.0,24.0,5.0,2.0,814.0,37.0,4.0,2.0,2595.0,30.0,3.0,1.0,1600.0,32.0,3.0,1.0,2331.0,26.0,2.0,1.0,1827.0,25.0,3.0,1.0,1350.0,7.0,2.0,0.0,419.0,Premier League
Andrew Surman,£2.25m ,34.0,178.0,Midfielder - Central Midfield,left,Without Club,31.0,5.0,4.0,2455.0,7.0,0.0,1.0,516.0,39.0,0.0,3.0,2829.0,43.0,3.0,4.0,3750.0,38.0,0.0,3.0,3420.0,23.0,0.0,2.0,1892.0,28.0,2.0,5.0,2119.0,20.0,0.0,1.0,1618.0,9.0,0.0,0.0,593.0,,,,,Premier League
Emerson Hyndman,£900Th. ,24.0,170.0,Midfielder - Central Midfield,right,Atlanta United FC,,,,,,,,,7.0,2.0,0.0,425.0,14.0,0.0,0.0,1079.0,26.0,1.0,0.0,1610.0,20.0,4.0,4.0,1362.0,4.0,0.0,0.0,164.0,41.0,4.0,3.0,2443.0,20.0,2.0,1.0,1508.0,,,,,Premier League
Matt Butcher, ,23.0,188.0,Midfielder - Central Midfield,left,Accrington Stanley,,,,,,,,,,,,,,,,,12.0,2.0,0.0,977.0,42.0,2.0,1.0,3204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,388.0,8.0,1.0,0.0,675.0,Premier League
Kyle Taylor, ,21.0,167.0,Midfielder - Central Midfield,right,Southend United,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,9.0,0.0,0.0,569.0,4.0,0.0,0.0,327.0,Premier League
Ryan Fraser,£5.40m ,26.0,163.0,Forward - Left Winger,right,Newcastle United,3.0,0.0,0.0,33.0,23.0,0.0,6.0,1257.0,41.0,4.0,2.0,2206.0,27.0,2.0,0.0,1151.0,21.0,6.0,6.0,1341.0,29.0,3.0,8.0,1856.0,32.0,6.0,4.0,2543.0,42.0,8.0,15.0,3384.0,32.0,1.0,4.0,2351.0,6.0,1.0,1.0,284.0,Premier League
Junior Stanislas,£4.05m ,30.0,183.0,Forward - Left Winger,right,AFC Bournemouth,34.0,1.0,7.0,2032.0,37.0,5.0,9.0,2370.0,32.0,3.0,7.0,1158.0,20.0,2.0,3.0,1032.0,25.0,5.0,3.0,1821.0,22.0,7.0,5.0,1536.0,20.0,5.0,2.0,1356.0,27.0,4.0,3.0,1269.0,16.0,3.0,0.0,776.0,2.0,0.0,1.0,99.0,Premier League
Marc Pugh,£1.35m ,33.0,180.0,Forward - Left Winger,right,Without Club,49.0,12.0,11.0,4362.0,46.0,8.0,10.0,3845.0,45.0,5.0,3.0,3073.0,44.0,9.0,7.0,3148.0,30.0,5.0,3.0,1580.0,23.0,2.0,3.0,1451.0,25.0,1.0,2.0,1352.0,17.0,4.0,2.0,1020.0,31.0,2.0,4.0,1477.0,,,,,Premier League
Jordon Ibe,£8.10m ,24.0,176.0,Forward - Right Winger,right,Derby County,11.0,1.0,1.0,310.0,13.0,1.0,4.0,831.0,18.0,3.0,6.0,1107.0,39.0,5.0,2.0,2177.0,43.0,4.0,4.0,2245.0,26.0,0.0,0.0,1145.0,38.0,2.0,8.0,2277.0,24.0,3.0,1.0,1195.0,4.0,0.0,0.0,227.0,,,,,Premier League
Connor Mahoney,£225Th. ,23.0,175.0,Forward - Right Winger,left,Millwall FC,,,,,,,,,11.0,0.0,1.0,477.0,19.0,2.0,2.0,1497.0,22.0,3.0,9.0,1874.0,32.0,4.0,5.0,1909.0,10.0,0.0,0.0,443.0,32.0,2.0,4.0,1639.0,40.0,3.0,6.0,1610.0,7.0,1.0,0.0,395.0,Premier League
Joshua King,£9.00m ,28.0,189.0,Forward - Second Striker,right,AFC Bournemouth,26.0,3.0,3.0,1267.0,27.0,2.0,6.0,1742.0,35.0,2.0,7.0,2090.0,19.0,5.0,1.0,890.0,35.0,7.0,4.0,2241.0,36.0,16.0,2.0,2720.0,34.0,9.0,3.0,2497.0,38.0,12.0,4.0,3037.0,27.0,6.0,4.0,2050.0,1.0,0.0,0.0,23.0,Premier League
Benik Afobe,£9.00m ,27.0,183.0,Forward - Centre-Forward,right,Trabzonspor,7.0,1.0,0.0,268.0,29.0,3.0,2.0,1234.0,17.0,4.0,2.0,824.0,51.0,32.0,10.0,3701.0,42.0,14.0,1.0,3067.0,33.0,6.0,3.0,1661.0,38.0,7.0,2.0,1536.0,49.0,9.0,2.0,3031.0,13.0,3.0,0.0,808.0,5.0,2.0,0.0,437.0,Premier League
Callum Wilson,£9.00m ,28.0,180.0,Forward - Centre-Forward,right,Newcastle United,3.0,1.0,2.0,238.0,12.0,1.0,0.0,391.0,41.0,22.0,7.0,3672.0,50.0,23.0,13.0,4083.0,13.0,5.0,0.0,770.0,21.0,6.0,1.0,1410.0,31.0,9.0,3.0,2119.0,33.0,15.0,10.0,2660.0,39.0,9.0,3.0,3025.0,6.0,4.0,1.0,473.0,Premier League
Lys Mousset,£3.60m ,24.0,184.0,Forward - Centre-Forward,right,Sheffield United,,,,,,,,,5.0,0.0,0.0,125.0,1.0,0.0,0.0,4.0,29.0,14.0,3.0,1602.0,14.0,0.0,0.0,442.0,29.0,3.0,1.0,1058.0,28.0,2.0,0.0,646.0,33.0,6.0,4.0,1374.0,,,,,Premier League
Lewis Grabban,£2.70m ,32.0,183.0,Forward - Centre-Forward,right,Nottingham Forest,47.0,21.0,4.0,3742.0,47.0,13.0,9.0,3817.0,46.0,22.0,4.0,3877.0,36.0,12.0,4.0,2131.0,24.0,1.0,0.0,1086.0,25.0,4.0,5.0,1441.0,38.0,20.0,1.0,2821.0,41.0,17.0,3.0,2799.0,45.0,20.0,2.0,3919.0,6.0,0.0,0.0,421.0,Premier League
Jermain Defoe,£2.25m ,38.0,171.0,Forward - Centre-Forward,right,Rangers FC,38.0,17.0,8.0,2211.0,43.0,15.0,6.0,3027.0,43.0,22.0,6.0,2912.0,19.0,4.0,1.0,1637.0,34.0,18.0,1.0,2641.0,40.0,15.0,2.0,3458.0,26.0,4.0,1.0,1190.0,28.0,8.0,8.0,1400.0,32.0,17.0,1.0,1401.0,3.0,1.0,1.0,53.0,Premier League
Mikael Ndjoli, ,21.0,183.0,Forward - Centre-Forward,right,AFC Bournemouth U21,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,31.0,5.0,2.0,811.0,19.0,3.0,1.0,913.0,,,,,Premier League
Mathew Ryan,£7.20m ,28.0,184.0,Goalkeeper,right,Brighton & Hove Albion,30.0,31.0,9.0,2730.0,33.0,34.0,14.0,2970.0,44.0,44.0,16.0,3990.0,58.0,54.0,21.0,5220.0,21.0,23.0,7.0,1890.0,26.0,25.0,11.0,2340.0,38.0,54.0,10.0,3420.0,36.0,58.0,6.0,3270.0,38.0,54.0,9.0,3420.0,5.0,11.0,1.0,450.0,Premier League
Tim Krul,£2.25m ,32.0,193.0,Goalkeeper,left,Norwich City,42.0,58.0,15.0,3870.0,31.0,47.0,7.0,2757.0,38.0,53.0,11.0,3450.0,31.0,47.0,9.0,2790.0,9.0,18.0,1.0,810.0,28.0,48.0,6.0,2580.0,8.0,10.0,2.0,705.0,46.0,57.0,13.0,4140.0,38.0,71.0,5.0,3480.0,5.0,5.0,1.0,450.0,Premier League
Christian Walton,£225Th. ,24.0,195.0,Goalkeeper,left,Brighton & Hove Albion,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,17.0,17.0,8.0,1530.0,21.0,38.0,2.0,1890.0,41.0,39.0,12.0,3690.0,37.0,26.0,21.0,3330.0,34.0,48.0,9.0,3060.0,46.0,63.0,12.0,4140.0,,,,,Premier League
Niki Mäenpää,£225Th. ,35.0,191.0,Goalkeeper,right,Without Club,2.0,7.0,0.0,180.0,36.0,68.0,5.0,3270.0,37.0,50.0,9.0,3330.0,41.0,40.0,15.0,3588.0,6.0,7.0,2.0,540.0,10.0,8.0,5.0,866.0,4.0,2.0,2.0,344.0,27.0,30.0,8.0,2405.0,5.0,5.0,1.0,388.0,,,,,Premier League
Shane Duffy,£10.80m ,28.0,193.0,Defender - Centre-Back,right,Celtic FC,32.0,2.0,1.0,2731.0,27.0,4.0,0.0,2214.0,40.0,1.0,3.0,3600.0,22.0,1.0,1.0,1890.0,42.0,4.0,3.0,3701.0,36.0,4.0,0.0,3270.0,38.0,0.0,2.0,3384.0,40.0,5.0,3.0,3568.0,21.0,1.0,0.0,1393.0,8.0,2.0,1.0,720.0,Premier League
Lewis Dunk,£9.00m ,28.0,192.0,Defender - Centre-Back,right,Brighton & Hove Albion,36.0,0.0,2.0,3300.0,9.0,0.0,0.0,588.0,14.0,0.0,1.0,1001.0,44.0,7.0,2.0,3916.0,41.0,4.0,1.0,3631.0,43.0,2.0,2.0,3742.0,39.0,1.0,1.0,3510.0,38.0,2.0,1.0,3393.0,36.0,3.0,3.0,3231.0,6.0,0.0,0.0,540.0,Premier League
Uwe Hünemeier,£900Th. ,34.0,189.0,Defender - Centre-Back,right,SC Paderborn 07,26.0,1.0,2.0,2340.0,24.0,0.0,2.0,1889.0,35.0,2.0,3.0,3150.0,33.0,2.0,2.0,2937.0,18.0,0.0,0.0,1420.0,18.0,1.0,0.0,1526.0,11.0,1.0,1.0,947.0,26.0,4.0,4.0,1871.0,17.0,2.0,0.0,1328.0,4.0,0.0,0.0,183.0,Premier League
Connor Goldson,£900Th. ,27.0,191.0,Defender - Centre-Back,right,Rangers FC,7.0,0.0,0.0,366.0,17.0,1.0,1.0,1379.0,43.0,0.0,1.0,3274.0,51.0,7.0,2.0,4590.0,31.0,3.0,0.0,2605.0,10.0,0.0,0.0,794.0,11.0,1.0,0.0,949.0,54.0,4.0,0.0,4831.0,52.0,4.0,2.0,4680.0,14.0,4.0,0.0,1260.0,Premier League
Markus Suttner,£2.25m ,33.0,179.0,Defender - Left-Back,left,Austria Vienna,45.0,1.0,5.0,3822.0,40.0,3.0,10.0,3600.0,46.0,2.0,7.0,3762.0,36.0,1.0,4.0,3013.0,19.0,0.0,0.0,1432.0,33.0,4.0,5.0,2856.0,17.0,0.0,1.0,1447.0,9.0,1.0,1.0,761.0,22.0,0.0,1.0,1489.0,5.0,0.0,1.0,418.0,Premier League
Gaëtan Bong,£1.35m ,32.0,183.0,Defender - Left-Back,left,Nottingham Forest,30.0,0.0,1.0,2580.0,31.0,0.0,1.0,2662.0,29.0,1.0,1.0,2174.0,14.0,0.0,0.0,1260.0,19.0,0.0,2.0,1482.0,24.0,0.0,4.0,2160.0,28.0,0.0,0.0,2494.0,24.0,0.0,0.0,1939.0,8.0,0.0,0.0,365.0,,,,,Premier League
Ezequiel Schelotto,£4.05m ,31.0,187.0,Defender - Right-Back,right,Without Club,38.0,2.0,7.0,2866.0,31.0,1.0,1.0,1856.0,27.0,5.0,2.0,1367.0,29.0,0.0,0.0,2123.0,17.0,0.0,3.0,1284.0,26.0,0.0,5.0,2148.0,24.0,0.0,1.0,1690.0,4.0,0.0,0.0,143.0,9.0,0.0,0.0,451.0,,,,,Premier League
Ales Mateju,£1.35m ,24.0,185.0,Defender - Right-Back,right,Brescia Calcio,,,,,,,,,4.0,0.0,0.0,360.0,15.0,1.0,0.0,1257.0,25.0,1.0,0.0,2227.0,26.0,1.0,2.0,1964.0,17.0,0.0,2.0,1223.0,23.0,0.0,0.0,1722.0,32.0,0.0,1.0,2668.0,2.0,0.0,0.0,180.0,Premier League
Liam Rosenior,£900Th. ,36.0,178.0,Defender - Right-Back,right,Retired,44.0,0.0,5.0,3926.0,36.0,0.0,2.0,1854.0,37.0,1.0,4.0,2778.0,18.0,0.0,2.0,945.0,35.0,0.0,2.0,2573.0,12.0,0.0,1.0,926.0,8.0,0.0,0.0,632.0,,,,,,,,,,,,,Premier League
Bruno,£675Th. ,40.0,180.0,Defender - Right-Back,right,Retired,18.0,0.0,1.0,1179.0,31.0,1.0,6.0,2597.0,33.0,1.0,2.0,2722.0,37.0,3.0,1.0,3053.0,48.0,1.0,3.0,4236.0,42.0,0.0,5.0,3719.0,26.0,0.0,1.0,2107.0,18.0,0.0,1.0,1537.0,,,,,,,,,Premier League
Rohan Ince,£450Th. ,27.0,194.0,Midfielder - Defensive Midfield,right,Without Club,16.0,0.0,1.0,851.0,9.0,0.0,0.0,490.0,33.0,1.0,2.0,2596.0,38.0,3.0,2.0,2816.0,27.0,1.0,0.0,1331.0,22.0,3.0,1.0,1860.0,29.0,0.0,0.0,2088.0,,,,,15.0,0.0,1.0,655.0,,,,,Premier League
Dessie Hutchinson, ,23.0,,Midfielder - Defensive Midfield,right,Retired,,,,,,,,,,,,,6.0,0.0,0.0,487.0,10.0,0.0,0.0,811.0,23.0,0.0,0.0,2030.0,25.0,5.0,2.0,1849.0,,,,,,,,,,,,,Premier League
Davy Pröpper,£13.50m ,29.0,185.0,Midfielder - Central Midfield,right,Brighton & Hove Albion,27.0,2.0,3.0,1606.0,33.0,2.0,0.0,1654.0,38.0,7.0,6.0,3263.0,38.0,7.0,4.0,3296.0,44.0,12.0,11.0,3920.0,43.0,10.0,9.0,3675.0,42.0,0.0,4.0,3429.0,35.0,1.0,2.0,2847.0,35.0,1.0,2.0,2828.0,2.0,0.0,0.0,180.0,Premier League
Dale Stephens,£5.40m ,31.0,185.0,Midfielder - Central Midfield,right,Burnley FC,31.0,4.0,5.0,2572.0,29.0,2.0,4.0,2415.0,44.0,6.0,3.0,3585.0,17.0,2.0,0.0,1038.0,45.0,7.0,4.0,3970.0,39.0,2.0,3.0,3037.0,39.0,1.0,3.0,3391.0,35.0,1.0,1.0,2940.0,34.0,0.0,1.0,2619.0,3.0,0.0,0.0,248.0,Premier League
Oliver Norwood,£2.70m ,29.0,175.0,Midfielder - Central Midfield,right,Sheffield United,38.0,3.0,3.0,3078.0,43.0,3.0,6.0,2999.0,45.0,6.0,5.0,3526.0,44.0,2.0,7.0,3379.0,50.0,3.0,12.0,4435.0,37.0,0.0,5.0,1980.0,41.0,5.0,3.0,2317.0,44.0,3.0,9.0,3897.0,41.0,3.0,1.0,3346.0,4.0,0.0,0.0,282.0,Premier League
Beram Kayal,£1.35m ,32.0,178.0,Midfielder - Central Midfield,right,Without Club,28.0,0.0,1.0,2296.0,41.0,0.0,1.0,2188.0,20.0,1.0,2.0,965.0,31.0,1.0,0.0,1854.0,45.0,2.0,7.0,3976.0,21.0,1.0,2.0,1466.0,27.0,1.0,0.0,1429.0,25.0,1.0,1.0,1575.0,7.0,0.0,1.0,256.0,,,,,Premier League
Steve Sidwell,£900Th. ,37.0,183.0,Midfielder - Central Midfield,right,Retired,28.0,3.0,2.0,1655.0,31.0,4.0,2.0,2374.0,41.0,8.0,2.0,3407.0,16.0,0.0,0.0,642.0,23.0,1.0,1.0,915.0,37.0,1.0,0.0,2649.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Premier League
Richie Towell,£180Th. ,29.0,173.0,Midfielder - Central Midfield,right,Salford City,16.0,1.0,0.0,1129.0,31.0,7.0,0.0,2790.0,33.0,11.0,0.0,2953.0,36.0,27.0,1.0,3217.0,5.0,0.0,0.0,400.0,9.0,4.0,1.0,659.0,46.0,6.0,2.0,3497.0,34.0,4.0,2.0,2475.0,31.0,5.0,2.0,2362.0,6.0,2.0,0.0,457.0,Premier League
Jayson Molumby, ,21.0,176.0,Midfielder - Central Midfield,right,Brighton & Hove Albion,,,,,,,,,,,,,,,,,13.0,0.0,0.0,950.0,25.0,0.0,1.0,1948.0,6.0,1.0,0.0,570.0,6.0,0.0,0.0,491.0,40.0,1.0,1.0,3121.0,2.0,0.0,0.0,171.0,Premier League
Max Sanders, ,21.0,175.0,Midfielder - Central Midfield,right,Brighton & Hove Albion,,,,,,,,,,,,,,,,,2.0,0.0,0.0,7.0,17.0,6.0,2.0,1443.0,25.0,3.0,4.0,1886.0,15.0,2.0,1.0,1300.0,26.0,2.0,3.0,1988.0,4.0,0.0,0.0,208.0,Premier League
Solly March,£4.50m ,26.0,180.0,Midfielder - Left Midfield,left,Brighton & Hove Albion,,,,,0.0,0.0,0.0,0.0,28.0,1.0,2.0,1009.0,13.0,1.0,2.0,566.0,18.0,4.0,2.0,1322.0,34.0,4.0,4.0,1751.0,40.0,1.0,3.0,2105.0,37.0,2.0,6.0,2542.0,20.0,0.0,1.0,1188.0,5.0,1.0,1.0,438.0,Premier League
Pascal Groß,£9.00m ,29.0,181.0,Midfielder - Attacking Midfield,right,Brighton & Hove Albion,33.0,4.0,8.0,2309.0,31.0,2.0,1.0,2322.0,32.0,2.0,4.0,2409.0,35.0,7.0,23.0,3093.0,33.0,1.0,6.0,2923.0,35.0,5.0,6.0,2970.0,39.0,7.0,8.0,3039.0,27.0,3.0,3.0,1977.0,31.0,2.0,4.0,1983.0,7.0,0.0,2.0,299.0,Premier League
Izzy Brown,£4.50m ,23.0,182.0,Midfielder - Attacking Midfield,right,Sheffield Wednesday,,,,,17.0,0.0,1.0,1021.0,29.0,8.0,4.0,2097.0,30.0,10.0,9.0,2331.0,28.0,6.0,1.0,1553.0,41.0,8.0,6.0,2972.0,15.0,0.0,1.0,402.0,2.0,0.0,0.0,11.0,28.0,1.0,8.0,1644.0,4.0,0.0,1.0,338.0,Premier League
Soufyan Ahannach,£450Th. ,25.0,173.0,Midfielder - Attacking Midfield,right,Without Club,,,,,2.0,0.0,0.0,17.0,20.0,1.0,0.0,1396.0,32.0,5.0,2.0,2300.0,40.0,13.0,9.0,2836.0,42.0,18.0,15.0,3749.0,23.0,1.0,4.0,1718.0,7.0,1.0,1.0,487.0,10.0,1.0,1.0,699.0,,,,,Premier League
José Izquierdo,£12.60m ,28.0,171.0,Forward - Left Winger,right,Brighton & Hove Albion,,,,,,,,,18.0,8.0,3.0,1562.0,44.0,15.0,7.0,2763.0,37.0,7.0,9.0,2464.0,34.0,16.0,3.0,2572.0,38.0,5.0,4.0,2278.0,18.0,0.0,2.0,906.0,,,,,1.0,1.0,0.0,29.0,Premier League
Jamie Murphy,£1.58m ,31.0,178.0,Forward - Left Winger,right,Hibernian FC,40.0,13.0,6.0,3063.0,50.0,13.0,5.0,3926.0,42.0,7.0,7.0,2956.0,58.0,12.0,12.0,4854.0,39.0,6.0,5.0,2859.0,40.0,4.0,3.0,2182.0,26.0,6.0,11.0,2084.0,8.0,1.0,3.0,513.0,12.0,7.0,2.0,914.0,5.0,0.0,0.0,281.0,Premier League
Jiri Skalak,£1.35m ,28.0,177.0,Forward - Left Winger,right,Millwall FC,28.0,4.0,1.0,2133.0,25.0,0.0,1.0,997.0,35.0,4.0,3.0,2514.0,31.0,10.0,6.0,2555.0,33.0,9.0,6.0,2391.0,33.0,0.0,6.0,1987.0,7.0,0.0,0.0,601.0,19.0,1.0,1.0,777.0,14.0,1.0,1.0,525.0,1.0,0.0,0.0,30.0,Premier League
James Tilley, ,22.0,174.0,Forward - Right Winger,left,Grimsby Town,,,,,,,,,,,,,10.0,1.0,0.0,608.0,19.0,3.0,0.0,1300.0,24.0,4.0,0.0,1435.0,24.0,6.0,1.0,1366.0,34.0,2.0,2.0,2452.0,34.0,0.0,1.0,1376.0,4.0,1.0,0.0,239.0,Premier League
Jürgen Locadia,£13.50m ,26.0,185.0,Forward - Centre-Forward,right,FC Cincinnati,9.0,4.0,1.0,676.0,37.0,29.0,4.0,2096.0,41.0,17.0,6.0,2887.0,37.0,9.0,5.0,1606.0,42.0,12.0,14.0,2904.0,17.0,4.0,4.0,1036.0,26.0,11.0,8.0,1885.0,34.0,4.0,1.0,1730.0,28.0,6.0,1.0,1767.0,,,,,Premier League
Leonardo Ulloa,£4.50m ,34.0,188.0,Forward - Centre-Forward,right,Rayo Vallecano,40.0,29.0,0.0,3263.0,42.0,16.0,4.0,2793.0,38.0,16.0,5.0,3038.0,40.0,13.0,4.0,2580.0,35.0,6.0,4.0,1536.0,24.0,1.0,0.0,724.0,20.0,2.0,2.0,797.0,32.0,14.0,1.0,1761.0,23.0,7.0,2.0,1758.0,1.0,0.0,0.0,7.0,Premier League
Sam Baldock,£2.70m ,31.0,170.0,Forward - Centre-Forward,right,Reading FC,30.0,11.0,3.0,1711.0,34.0,10.0,2.0,2151.0,54.0,26.0,6.0,4511.0,27.0,4.0,4.0,2175.0,33.0,4.0,7.0,2171.0,34.0,12.0,7.0,2366.0,9.0,1.0,2.0,530.0,24.0,6.0,1.0,1539.0,28.0,6.0,2.0,1275.0,3.0,0.0,0.0,169.0,Premier League
Glenn Murray,£2.70m ,37.0,186.0,Forward - Centre-Forward,right,Watford FC,44.0,7.0,5.0,2800.0,45.0,31.0,6.0,3906.0,14.0,1.0,1.0,394.0,38.0,15.0,4.0,2544.0,25.0,5.0,0.0,934.0,47.0,23.0,8.0,3627.0,38.0,14.0,0.0,2239.0,42.0,15.0,1.0,2726.0,24.0,2.0,1.0,876.0,5.0,0.0,0.0,139.0,Premier League
Tomer Hemed,£2.25m ,33.0,182.0,Forward - Centre-Forward,right,Without Club,34.0,10.0,1.0,2076.0,38.0,11.0,2.0,2485.0,24.0,2.0,1.0,1198.0,35.0,8.0,4.0,2328.0,48.0,17.0,5.0,3302.0,41.0,14.0,5.0,1997.0,19.0,2.0,2.0,1076.0,29.0,7.0,0.0,1426.0,19.0,0.0,0.0,826.0,,,,,Premier League
Aaron Connolly, ,20.0,175.0,Forward - Centre-Forward,right,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,18.0,6.0,0.0,1047.0,22.0,9.0,1.0,1540.0,21.0,16.0,2.0,1519.0,29.0,7.0,2.0,1602.0,5.0,1.0,1.0,288.0,Premier League
Nick Pope,£9.00m ,28.0,198.0,Goalkeeper,right,Burnley FC,0.0,0.0,0.0,0.0,10.0,7.0,5.0,829.0,29.0,21.0,18.0,2610.0,31.0,20.0,15.0,2723.0,28.0,41.0,6.0,2520.0,4.0,1.0,3.0,390.0,38.0,41.0,13.0,3414.0,3.0,5.0,2.0,194.0,38.0,50.0,15.0,3420.0,5.0,9.0,1.0,450.0,Premier League
Tom Heaton,£3.60m ,34.0,188.0,Goalkeeper,right,Aston Villa,10.0,11.0,5.0,974.0,44.0,79.0,6.0,3960.0,50.0,43.0,20.0,4468.0,40.0,58.0,10.0,3600.0,48.0,38.0,20.0,4320.0,36.0,49.0,10.0,3240.0,4.0,4.0,1.0,306.0,22.0,33.0,4.0,1980.0,20.0,35.0,4.0,1795.0,,,,,Premier League
Anders Lindegaard,£450Th. ,36.0,193.0,Goalkeeper,right,Helsingborgs IF,12.0,7.0,8.0,1080.0,16.0,24.0,5.0,1470.0,3.0,2.0,2.0,300.0,5.0,4.0,1.0,450.0,15.0,17.0,2.0,1305.0,10.0,18.0,3.0,900.0,0.0,0.0,0.0,0.0,17.0,31.0,2.0,1546.0,10.0,12.0,3.0,900.0,,,,,Premier League
Adam Legzdins,£225Th. ,33.0,190.0,Goalkeeper,,Without Club,5.0,4.0,1.0,400.0,33.0,46.0,7.0,2908.0,0.0,0.0,0.0,0.0,13.0,17.0,3.0,1151.0,8.0,10.0,2.0,720.0,13.0,17.0,3.0,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Premier League
James Tarkowski,£13.50m ,27.0,185.0,Defender - Centre-Back,right,Burnley FC,18.0,1.0,0.0,1452.0,26.0,2.0,0.0,2080.0,49.0,5.0,0.0,4307.0,38.0,1.0,2.0,3382.0,27.0,1.0,3.0,2210.0,24.0,0.0,0.0,1033.0,33.0,0.0,0.0,3000.0,42.0,3.0,1.0,3595.0,40.0,2.0,2.0,3600.0,3.0,0.0,0.0,270.0,Premier League
Ben Mee,£9.00m ,31.0,180.0,Defender - Centre-Back,left,Burnley FC,35.0,0.0,1.0,3003.0,21.0,1.0,2.0,1571.0,41.0,0.0,3.0,3626.0,35.0,2.0,1.0,3068.0,49.0,2.0,1.0,4398.0,35.0,1.0,1.0,3105.0,30.0,0.0,0.0,2700.0,43.0,0.0,2.0,3900.0,32.0,1.0,1.0,2880.0,,,,,Premier League
Kevin Long,£2.25m ,30.0,188.0,Defender - Centre-Back,right,Burnley FC,42.0,4.0,2.0,3717.0,20.0,0.0,0.0,1689.0,11.0,1.0,1.0,817.0,2.0,0.0,0.0,110.0,15.0,2.0,0.0,1373.0,4.0,0.0,0.0,390.0,19.0,1.0,3.0,1740.0,12.0,1.0,1.0,1113.0,11.0,0.0,0.0,832.0,6.0,0.0,0.0,540.0,Premier League
Charlie Taylor,£4.50m ,27.0,176.0,Defender - Left-Back,left,Burnley FC,8.0,0.0,3.0,369.0,13.0,0.0,1.0,768.0,42.0,0.0,4.0,3707.0,25.0,2.0,1.0,2128.0,43.0,1.0,7.0,3900.0,32.0,0.0,4.0,2679.0,14.0,0.0,0.0,1249.0,45.0,0.0,2.0,3839.0,26.0,0.0,1.0,2079.0,7.0,0.0,0.0,630.0,Premier League
Stephen Ward,£2.70m ,35.0,184.0,Defender - Left-Back,left,Ipswich Town,41.0,3.0,1.0,3607.0,41.0,2.0,1.0,3450.0,47.0,4.0,4.0,4138.0,10.0,0.0,0.0,713.0,27.0,2.0,4.0,2352.0,38.0,1.0,1.0,3322.0,28.0,1.0,1.0,2462.0,10.0,0.0,0.0,835.0,18.0,0.0,0.0,1494.0,5.0,0.0,0.0,382.0,Premier League
Matthew Lowton,£4.50m ,31.0,180.0,Defender - Right-Back,right,Burnley FC,55.0,6.0,4.0,4929.0,44.0,2.0,3.0,3927.0,25.0,0.0,3.0,1841.0,14.0,0.0,1.0,888.0,27.0,1.0,3.0,2268.0,36.0,0.0,2.0,3240.0,27.0,0.0,3.0,2384.0,24.0,0.0,0.0,2078.0,20.0,0.0,2.0,1722.0,3.0,0.0,1.0,259.0,Premier League
Phil Bardsley,£1.35m ,35.0,180.0,Defender - Right-Back,right,Burnley FC,37.0,2.0,1.0,3050.0,23.0,1.0,0.0,1417.0,34.0,4.0,1.0,2798.0,30.0,0.0,2.0,2532.0,17.0,1.0,2.0,1341.0,17.0,1.0,0.0,1350.0,15.0,0.0,0.0,1335.0,23.0,0.0,0.0,2092.0,22.0,0.0,1.0,1968.0,4.0,0.0,0.0,281.0,Premier League
Jack Cork,£13.50m ,31.0,185.0,Midfielder - Defensive Midfield,right,Burnley FC,49.0,0.0,3.0,3846.0,32.0,0.0,1.0,2781.0,33.0,0.0,3.0,2182.0,31.0,4.0,1.0,1949.0,36.0,1.0,3.0,2632.0,33.0,0.0,0.0,2468.0,41.0,3.0,2.0,3608.0,45.0,3.0,2.0,3812.0,32.0,0.0,0.0,2773.0,,,,,Premier League
