name,Market Value,current league
Paddy McNair,£3.60m ,Premier League
Lee Cattermole,£2.70m ,Premier League
Didier Ndong,£9.00m ,Premier League
Sebastian Larsson,£2.25m ,Premier League
Darron Gibson,£1.35m ,Premier League
Ethan Robson, ,Premier League
Elliot Embleton, ,Premier League
George Honeyman,£225Th. ,Premier League
Fabio Borini,£4.50m ,Premier League
Steven Pienaar,£900Th. ,Premier League
Rees Greenwood, ,Premier League
Jeremain Lens,£9.90m ,Premier League
Adnan Januzaj,£6.30m ,Premier League
Duncan Watmore,£2.70m ,Premier League
Will Buckley,£1.80m ,Premier League
Lynden Gooch,£675Th. ,Premier League
Wahbi Khazri,£6.30m ,Premier League
Jermain Defoe,£4.50m ,Premier League
Victor Anichebe,£1.35m ,Premier League
Joel Asoro, ,Premier League
Josh Maja, ,Premier League
Artur Boruc,£900Th. ,Premier League
Adam Federici,£900Th. ,Premier League
Aaron Ramsdale,£450Th. ,Premier League
Ryan Allsop,£225Th. ,Premier League
Jordan Holmes, ,Premier League
Nathan Aké,£7.20m ,Premier League
Steve Cook,£4.50m ,Premier League
Tyrone Mings,£4.50m ,Premier League
Marc Wilson,£2.25m ,Premier League
Baily Cargill,£225Th. ,Premier League
Jack Simpson, ,Premier League
Corey Jordan, ,Premier League
Charlie Daniels,£2.70m ,Premier League
Brad Smith,£1.80m ,Premier League
Rhoys Wiggins,£450Th. ,Premier League
Callum Buckley, ,Premier League
Adam Smith,£4.50m ,Premier League
Simon Francis,£2.25m ,Premier League
Jordan Lee, ,Premier League
Jack Wilshere,£16.20m ,Premier League
Lewis Cook,£5.40m ,Premier League
Dan Gosling,£2.70m ,Premier League
Harry Arter,£2.25m ,Premier League
Andrew Surman,£1.80m ,Premier League
Emerson Hyndman,£900Th. ,Premier League
Eunan O'Kane,£900Th. ,Premier League
Matt Worthington, ,Premier League
Keelan O'Connell, ,Premier League
Ollie Harfield, ,Premier League
Max Gradel,£6.30m ,Premier League
Ryan Fraser,£4.50m ,Premier League
Junior Stanislas,£4.05m ,Premier League
Marc Pugh,£1.80m ,Premier League
Jordon Ibe,£7.20m ,Premier League
Harry Cornick,£90Th. ,Premier League
Joshua King,£7.20m ,Premier League
Benik Afobe,£9.00m ,Premier League
Callum Wilson,£9.00m ,Premier League
Lys Mousset,£3.60m ,Premier League
Lewis Grabban,£2.70m ,Premier League
Sam Surridge, ,Premier League
Tom Heaton,£3.60m ,Premier League
Nick Pope,£675Th. ,Premier League
Paul Robinson,£225Th. ,Premier League
Michael Keane,£16.20m ,Premier League
Ben Mee,£5.40m ,Premier League
James Tarkowski,£1.80m ,Premier League
Kevin Long,£450Th. ,Premier League
Tom Anderson,£225Th. ,Premier League
Stephen Ward,£1.35m ,Premier League
Danny Lafferty,£450Th. ,Premier League
Jon Flanagan,£3.15m ,Premier League
Matthew Lowton,£2.25m ,Premier League
Tendayi Darikwa,£450Th. ,Premier League
David Jones,£1.35m ,Premier League
Ashley Westwood,£3.60m ,Premier League
Jeff Hendrick,£5.40m ,Premier League
Steven Defour,£5.40m ,Premier League
Scott Arfield,£2.70m ,Premier League
Dean Marney,£900Th. ,Premier League
Joey Barton,£900Th. ,Premier League
Fredrik Ulvestad,£675Th. ,Premier League
Aiden O'Neill,£90Th. ,Premier League
Robbie Brady,£9.00m ,Premier League
Michael Kightly,£900Th. ,Premier League
Bradley Jackson, ,Premier League
George Boyd,£3.60m ,Premier League
Jóhann Berg Gudmundsson,£2.25m ,Premier League
Andre Gray,£9.00m ,Premier League
Patrick Bamford,£4.50m ,Premier League
Sam Vokes,£4.05m ,Premier League
Ashley Barnes,£2.25m ,Premier League
Rouwen Hennings,£1.35m ,Premier League
Lukas Jutkiewicz,£1.35m ,Premier League
Chris Long,£900Th. ,Premier League
Dan Agyei,£68Th. ,Premier League
Ntumba Massanka, ,Premier League
Neto,£5.40m ,Serie A
Gianluigi Buffon,£1.80m ,Serie A
Emil Audero,£450Th. ,Serie A
Mattia Del Favero,£90Th. ,Serie A
Leonardo Loria,£68Th. ,Serie A
Leonardo Bonucci,£40.50m ,Serie A
Daniele Rugani,£15.30m ,Serie A
Medhi Benatia,£13.50m ,Serie A
Giorgio Chiellini,£9.00m ,Serie A
Luca Marrone,£1.80m ,Serie A
Andrea Barzagli,£900Th. ,Serie A
Luca Coccolo,£90Th. ,Serie A
Mattias Andersson,£68Th. ,Serie A
Alex Sandro,£31.50m ,Serie A
Patrice Evra,£900Th. ,Serie A
Paolo De Ceglie,£360Th. ,Serie A
Juan Cuadrado,£22.50m ,Serie A
Dani Alves,£5.40m ,Serie A
Stephan Lichtsteiner,£2.70m ,Serie A
Federico Mattiello,£360Th. ,Serie A
Alessandro Semprini,£68Th. ,Serie A
Miralem Pjanic,£36.00m ,Serie A
Tomás Rincón,£7.20m ,Serie A
Mario Lemina,£6.75m ,Serie A
Rolando Mandragora,£2.70m ,Serie A
Sami Khedira,£25.20m ,Serie A
Claudio Marchisio,£22.50m ,Serie A
Stefano Sturaro,£9.00m ,Serie A
Mehdi Léris,£270Th. ,Serie A
Simone Muratore,£135Th. ,Serie A
Kwadwo Asamoah,£9.90m ,Serie A
Hernanes,£2.70m ,Serie A
Marko Pjaca,£13.50m ,Serie A
Paulo Dybala,£58.50m ,Serie A
Gonzalo Higuaín,£67.50m ,Serie A
Mario Mandzukic,£18.00m ,Serie A
Simone Zaza,£13.50m ,Serie A
Moise Kean,£1.35m ,Serie A
Samir Handanovic,£9.00m ,Serie A
Juan Pablo Carrizo,£270Th. ,Serie A
Ionut Radu,£270Th. ,Serie A
Michele Di Gregorio,£135Th. ,Serie A
Tommaso Berni,£90Th. ,Serie A
Jeison Murillo,£11.70m ,Serie A
Miranda,£8.10m ,Serie A
Andrea Ranocchia,£4.50m ,Serie A
Marco Andreolli,£1.80m ,Serie A
Eloge Yao,£1.35m ,Serie A
Trent Sainsbury,£900Th. ,Serie A
Zinho Vanheusden,£360Th. ,Serie A
Andreaw Gravillon,£270Th. ,Serie A
Cristian Ansaldi,£4.95m ,Serie A
Caner Erkin,£4.05m ,Serie A
Yuto Nagatomo,£3.15m ,Serie A
Senna Miangue,£1.62m ,Serie A
Danilo D'Ambrosio,£9.00m ,Serie A
Davide Santon,£4.50m ,Serie A
Marcelo Brozovic,£18.00m ,Serie A
Gary Medel,£10.80m ,Serie A
Felipe Melo,£900Th. ,Serie A
Marco Carraro,£135Th. ,Serie A
João Mário,£27.00m ,Serie A
Geoffrey Kondogbia,£16.20m ,Serie A
Éver Banega,£14.40m ,Serie A
Roberto Gagliardini,£13.50m ,Serie A
Assane Gnoukouri,£900Th. ,Serie A
Xian Emmers,£225Th. ,Serie A
Loris Zonta,£225Th. ,Serie A
Antonio Candreva,£18.00m ,Serie A
Rigoberto Rivas,£315Th. ,Serie A
Ivan Perisic,£27.00m ,Serie A
Jonathan Biabiany,£3.60m ,Serie A
Axel Bakayoko,£135Th. ,Serie A
Ã‰der,£9.00m ,Serie A
Mauro Icardi,£45.00m ,Serie A
Gabriel Barbosa,£13.50m ,Serie A
Stevan Jovetic,£9.00m ,Serie A
Andrea Pinamonti,£900Th. ,Serie A
Rodrigo Palacio,£720Th. ,Serie A
Pepe Reina,£1.80m ,Serie A
Rafael,£1.53m ,Serie A
Luigi Sepe,£1.35m ,Serie A
Kalidou Koulibaly,£27.00m ,Serie A
Nikola Maksimovic,£9.00m ,Serie A
Raúl Albiol,£7.20m ,Serie A
Lorenzo Tonelli,£7.20m ,Serie A
Vlad Chiriches,£5.40m ,Serie A
Sebastiano Luperto,£900Th. ,Serie A
Igor Lasicki,£180Th. ,Serie A
Marco Milanese,£68Th. ,Serie A
Faouzi Ghoulam,£15.30m ,Serie A
Ivan Strinic,£4.05m ,Serie A
Elseid Hysaj,£16.20m ,Serie A
Christian Maggio,£450Th. ,Serie A
Jorginho,£19.80m ,Serie A
Amadou Diawara,£13.50m ,Serie A
David López,£5.85m ,Serie A
Mirko Valdifiori,£3.15m ,Serie A
Marek Hamsik,£36.00m ,Serie A
Piotr Zielinski,£18.00m ,Serie A
Allan,£14.40m ,Serie A
Marko Rog,£9.00m ,Serie A
Omar El Kaddouri,£3.60m ,Serie A
Alberto Grassi,£2.88m ,Serie A
Jonathan de Guzmán,£1.80m ,Serie A
Emanuele Giaccherini,£1.35m ,Serie A
Lorenzo Insigne,£31.50m ,Serie A
Leandrinho,£630Th. ,Serie A
Nicolao Dumitru,£630Th. ,Serie A
Alessio Zerbin,£90Th. ,Serie A
José Callejón,£22.50m ,Serie A
Roberto Insigne,£630Th. ,Serie A
Dries Mertens,£25.20m ,Serie A
Arkadiusz Milik,£17.10m ,Serie A
Manolo Gabbiadini,£13.50m ,Serie A
Leonardo Pavoletti,£9.90m ,Serie A
Wojciech Szczesny,£15.30m ,Serie A
Alisson,£6.30m ,Serie A
Bogdan Lobont,£90Th. ,Serie A
Lorenzo Crisanto,£90Th. ,Serie A
Stefano Greco,£68Th. ,Serie A
Andrea Romagnoli,£23Th. ,Serie A
Konstantinos Manolas,£27.00m ,Serie A
Antonio Rüdiger,£22.50m ,Serie A
Federico Fazio,£8.10m ,Serie A
Juan Jesus,£6.75m ,Serie A
Thomas Vermaelen,£2.70m ,Serie A
Riccardo Marchizza,£405Th. ,Serie A
Stefano Ciavattini,£68Th. ,Serie A
Emerson,£8.10m ,Serie A
Mário Rui,£6.30m ,Serie A
Luca Pellegrini,£225Th. ,Serie A
Moustapha Seck,£180Th. ,Serie A
Alessandro Florenzi,£18.00m ,Serie A
Bruno Peres,£9.90m ,Serie A
Vasilios Torosidis,£720Th. ,Serie A
Abdullahi Nura,£450Th. ,Serie A
Eros De Santis,£225Th. ,Serie A
William Vainqueur,£4.95m ,Serie A
Daniele De Rossi,£4.50m ,Serie A
Lorenzo Grossi,£113Th. ,Serie A
Kevin Strootman,£22.50m ,Serie A
Leandro Paredes,£11.70m ,Serie A
Gerson,£7.20m ,Serie A
Clément Grenier,£3.15m ,Serie A
Davide Frattesi,£180Th. ,Serie A
Alessandro Bordin,£158Th. ,Serie A
Emanuele Spinozzi,£135Th. ,Serie A
Radja Nainggolan,£36.00m ,Serie A
Lorenzo Di Livio,£158Th. ,Serie A
Diego Perotti,£15.30m ,Serie A
Stephan El Shaarawy,£15.30m ,Serie A
Juan Iturbe,£6.30m ,Serie A
Keba Coly,£113Th. ,Serie A
Filippo Franchi,£45Th. ,Serie A
Mohamed Salah,£31.50m ,Serie A
Federico Ricci,£3.15m ,Serie A
Mirko Antonucci,£135Th. ,Serie A
Francesco Totti,£900Th. ,Serie A
Edin Dzeko,£19.80m ,Serie A
Umar Sadiq,£1.80m ,Serie A
Marco Tumminello,£315Th. ,Serie A
Edoardo Soleri,£315Th. ,Serie A
Gianluigi Donnarumma,£22.50m ,Serie A
Gabriel,£1.26m ,Serie A
Diego López,£900Th. ,Serie A
Marco Storari,£270Th. ,Serie A
Alessandro Plizzari,£270Th. ,Serie A
Alessandro Guarnone,£135Th. ,Serie A
Alessio Romagnoli,£22.50m ,Serie A
Gabriel Paletta,£4.95m ,Serie A
Gustavo Gómez,£4.50m ,Serie A
Cristián Zapata,£2.25m ,Serie A
Rodrigo Ely,£1.80m ,Serie A
Jherson Vergara,£720Th. ,Serie A
Matteo Gabbia,£180Th. ,Serie A
Giorgio Altare,£90Th. ,Serie A
Luca Antonelli,£4.95m ,Serie A
Leonel Vangioni,£1.80m ,Serie A
Raul Zucchetti,£90Th. ,Serie A
Mattia De Sciglio,£7.65m ,Serie A
Ignazio Abate,£5.40m ,Serie A
Davide Calabria,£3.60m ,Serie A
Riccardo Montolivo,£3.15m ,Serie A
Mattia El Hilali,£68Th. ,Serie A
Giacomo Bonaventura,£21.60m ,Serie A
Andrea Bertolacci,£9.00m ,Serie A
Juraj Kucka,£8.10m ,Serie A
Mario Pasalic,£7.20m ,Serie A
Manuel Locatelli,£5.40m ,Serie A
José Sosa,£4.50m ,Serie A
Andrea Poli,£3.60m ,Serie A
José Mauri,£3.15m ,Serie A
Niccolò Zanellato,£135Th. ,Serie A
Matías Fernández,£4.05m ,Serie A
Keisuke Honda,£2.25m ,Serie A
Hachim Mastour,£225Th. ,Serie A
Gerard Deulofeu,£10.80m ,Serie A
Suso,£13.50m ,Serie A
Lucas Ocampos,£4.95m ,Serie A
Carlos Bacca,£16.20m ,Serie A
M'Baye Niang,£13.50m ,Serie A
Gianluca Lapadula,£7.20m ,Serie A
Luiz Adriano,£4.05m ,Serie A
Patrick Cutrone,£450Th. ,Serie A
Marco Sportiello,£5.40m ,Serie A
Ciprian Tatarusanu,£3.60m ,Serie A
Bartlomiej Dragowski,£2.70m ,Serie A
Luca Lezzerini,£360Th. ,Serie A
Giacomo Satalino,£113Th. ,Serie A
Michele Cerofolini,£68Th. ,Serie A
Simone Ghidotti, ,Serie A
Davide Astori,£7.65m ,Serie A
Carlos Salcedo,£3.15m ,Serie A
Nenad Tomović,£2.97m ,Serie A
Gonzalo Rodríguez,£2.70m ,Serie A
Sebastien De Maio,£1.35m ,Serie A
Ricardo Bagadur,£270Th. ,Serie A
Riccardo Baroni,£113Th. ,Serie A
Marcos Alonso,£22.50m ,Serie A
Maximiliano Olivera,£1.35m ,Serie A
Hrvoje Milic,£900Th. ,Serie A
Kevin Diks,£1.35m ,Serie A
Gilberto,£630Th. ,Serie A
Milan Badelj,£9.90m ,Serie A
Carlos Sánchez,£2.70m ,Serie A
Matías Vecino,£11.70m ,Serie A
Borja Valero,£8.10m ,Serie A
SebastiÃ¡n CristÃ³foro,£2.43m ,Serie A
Fabio Maistro,£45Th. ,Serie A
Tomás Reymão,£45Th. ,Serie A
Riccardo Saponara,£9.90m ,Serie A
Matías Fernández,£4.05m ,Serie A
Ianis Hagi,£675Th. ,Serie A
Cristian Tello,£7.20m ,Serie A
Hernán Toledo,£4.05m ,Serie A
Jaime Báez,£810Th. ,Serie A
Federico Bernardeschi,£27.00m ,Serie A
Federico Chiesa,£9.00m ,Serie A
Josh Pérez,£180Th. ,Serie A
Josip Ilicic,£9.00m ,Serie A
Nikola Kalinic,£18.00m ,Serie A
Khouma Babacar,£7.20m ,Serie A
Giuseppe Rossi,£3.60m ,Serie A
Mauro Zárate,£1.80m ,Serie A
Jan Mlakar,£495Th. ,Serie A
Etrit Berisha,£4.95m ,Serie A
Thomas Strakosha,£4.05m ,Serie A
Federico Marchetti,£1.80m ,Serie A
Ivan Vargic,£900Th. ,Serie A
Marius Adamonis,£135Th. ,Serie A
Luca Borrelli,£45Th. ,Serie A
Stefan de Vrij,£24.30m ,Serie A
Wallace,£8.10m ,Serie A
Wesley Hoedt,£6.75m ,Serie A
Stefan Radu,£5.40m ,Serie A
Bastos,£3.60m ,Serie A
Patric,£1.62m ,Serie A
Maurício,£1.35m ,Serie A
Franjo Prce,£135Th. ,Serie A
Jordan Lukaku,£4.05m ,Serie A
Vinícius,£450Th. ,Serie A
Luca Germoni,£360Th. ,Serie A
Denis Petro,£135Th. ,Serie A
Dusan Basta,£2.70m ,Serie A
Giorgio Spizzichino,£180Th. ,Serie A
Lucas Biglia,£18.00m ,Serie A
Sergej Milinkovic-Savic,£19.80m ,Serie A
Marco Parolo,£6.30m ,Serie A
Danilo Cataldi,£5.40m ,Serie A
Alessandro Murgia,£1.35m ,Serie A
Moritz Leitner,£900Th. ,Serie A
Álvaro González,£720Th. ,Serie A
Joseph Marie Minala,£630Th. ,Serie A
Luca Crecco,£540Th. ,Serie A
Michael Folorunsho,£135Th. ,Serie A
Cassio Cardoselli,£68Th. ,Serie A
Duje Javorcic,£68Th. ,Serie A
Abukar Mohamed,£45Th. ,Serie A
Senad Lulic,£6.30m ,Serie A
Luis Alberto,£2.70m ,Serie A
Ravel Morrison,£450Th. ,Serie A
Felipe Anderson,£22.50m ,Serie A
Keita Baldé,£22.50m ,Serie A
Ricardo Kishna,£2.70m ,Serie A
Christopher Oikonomidis,£270Th. ,Serie A
Cristiano Lombardi,£630Th. ,Serie A
Ciro Immobile,£18.00m ,Serie A
Filip Djordjevic,£1.80m ,Serie A
Brayan Perea,£450Th. ,Serie A
Mamadou Tounkara,£315Th. ,Serie A
Alessandro Rossi,£225Th. ,Serie A
Joe Hart,£11.70m ,Serie A
Alfred Gomis,£1.62m ,Serie A
Daniele Padelli,£900Th. ,Serie A
Salvador Ichazo,£540Th. ,Serie A
Tommaso Cucchietti,£113Th. ,Serie A
Domenico Coppola,£68Th. ,Serie A
Alberto Reinaudo,£45Th. ,Serie A
Nikola Maksimovic,£9.00m ,Serie A
Leandro Castán,£4.95m ,Serie A
Luca Rossettini,£2.25m ,Serie A
Danilo Avelar,£1.35m ,Serie A
Arlind Ajeti,£1.35m ,Serie A
Carlão,£450Th. ,Serie A
Emiliano Moretti,£450Th. ,Serie A
Cesare Bovo,£270Th. ,Serie A
Simone Auriletto,£135Th. ,Serie A
Alessandro Buongiorno,£68Th. ,Serie A
Alessio Benedetti,£45Th. ,Serie A
Edoardo Stanghellini,£45Th. ,Serie A
Antonio Barreca,£3.60m ,Serie A
Gastón Silva,£1.08m ,Serie A
Cristian Molinaro,£270Th. ,Serie A
Federico Giraudo,£90Th. ,Serie A
Andrea Sana, ,Serie A
Bruno Peres,£9.90m ,Serie A
Davide Zappacosta,£7.65m ,Serie A
Lorenzo De Silvestri,£3.15m ,Serie A
Mirko Valdifiori,£3.15m ,Serie A
Panagiotis Tachtsidis,£1.80m ,Serie A
Giuseppe Vives,£270Th. ,Serie A
Antonio D'Alena,£90Th. ,Serie A
Marco Benassi,£8.55m ,Serie A
Daniele Baselli,£6.30m ,Serie A
Afriyie Acquah,£2.52m ,Serie A
Sasa Lukic,£1.98m ,Serie A
Joel Obi,£1.35m ,Serie A
Samuel Gustafson,£540Th. ,Serie A
Matteo Rossetti,£113Th. ,Serie A
Martin Remacle,£23Th. ,Serie A
Kader Kouakou,£45Th. ,Serie A
Adem Ljajic,£9.90m ,Serie A
Juan Iturbe,£6.30m ,Serie A
Iago Falque,£9.00m ,Serie A
Mattia Aramu,£360Th. ,Serie A
Filippo Berardi,£68Th. ,Serie A
Andrea Belotti,£27.00m ,Serie A
Josef Martínez,£2.70m ,Serie A
Lucas Boyé,£2.25m ,Serie A
Maxi López,£450Th. ,Serie A
Manuel De Luca,£158Th. ,Serie A
Matteo Tobaldo,£113Th. ,Serie A
Mattia Perin,£13.50m ,Serie A
Eugenio Lamanna,£1.80m ,Serie A
Lukas Zima,£90Th. ,Serie A
Diego Faccioli,£68Th. ,Serie A
Rubinho,£45Th. ,Serie A
Armando Izzo,£5.40m ,Serie A
Ezequiel Muñoz,£2.70m ,Serie A
Lucas Orbán,£1.80m ,Serie A
Davide Biraschi,£720Th. ,Serie A
Santiago Gentiletti,£360Th. ,Serie A
Nicolás Burdisso,£270Th. ,Serie A
Alex Coppola,£45Th. ,Serie A
Diego Laxalt,£6.75m ,Serie A
Andrea Beghetto,£720Th. ,Serie A
Davide Brivio,£720Th. ,Serie A
Francesco Renzetti,£630Th. ,Serie A
Giovanni Marchese,£315Th. ,Serie A
Aleandro Rosi,£900Th. ,Serie A
Riccardo Fiamozzi,£900Th. ,Serie A
Issa Cissokho,£450Th. ,Serie A
Massimo Tazzer,£68Th. ,Serie A
Tomás Rincón,£7.20m ,Serie A
Miguel Veloso,£3.60m ,Serie A
Danilo Cataldi,£5.40m ,Serie A
Oscar Hiljemark,£3.15m ,Serie A
Edenilson,£1.80m ,Serie A
Luca Rigoni,£1.80m ,Serie A
Olivier Ntcham,£1.62m ,Serie A
Isaac Cofie,£1.35m ,Serie A
Adel Taarabt,£540Th. ,Serie A
Alessandro Quaini,£113Th. ,Serie A
Darko Lazovic,£2.25m ,Serie A
Leonardo Morosini,£1.98m ,Serie A
Nikola Ninkovic,£900Th. ,Serie A
Raffaele Palladino,£360Th. ,Serie A
Lucas Ocampos,£4.95m ,Serie A
Serge Gakpé,£810Th. ,Serie A
Luca Zanimacchia,£180Th. ,Serie A
Goran Pandev,£360Th. ,Serie A
Leonardo Pavoletti,£9.90m ,Serie A
Giovanni Simeone,£9.00m ,Serie A
Pietro Pellegri,£900Th. ,Serie A
Mauricio Pinilla,£720Th. ,Serie A
Raúl Asencio,£225Th. ,Serie A
Orestis Karnezis,£3.60m ,Serie A
Simone Scuffet,£3.60m ,Serie A
Samuele Perisan,£90Th. ,Serie A
Davide Borsellini,£68Th. ,Serie A
Luca Scordino, ,Serie A
Samir,£5.40m ,Serie A
Thomas Heurtaux,£2.43m ,Serie A
Danilo,£1.80m ,Serie A
Molla Wagué,£1.35m ,Serie A
Gabriele Angella,£1.35m ,Serie A
Felipe,£720Th. ,Serie A
Yrondu Musavu-King,£720Th. ,Serie A
Igor Bubnjic,£630Th. ,Serie A
Filip Vasko,£90Th. ,Serie A
Alberto Parpinel,£68Th. ,Serie A
Gabriel Silva,£2.25m ,Serie A
Ali Adnan,£1.62m ,Serie A
Pablo Armero,£1.35m ,Serie A
Silvan Widmer,£8.10m ,Serie A
Davide Faraoni,£900Th. ,Serie A
Sven Kums,£4.50m ,Serie A
Francesco Lodi,£675Th. ,Serie A
Edoardo Bovolon,£68Th. ,Serie A
Jakub Jankto,£7.20m ,Serie A
Seko Fofana,£6.75m ,Serie A
Emmanuel Badu,£4.50m ,Serie A
Rodrigo de Paul,£3.60m ,Serie A
Andrija Balic,£2.70m ,Serie A
Edenilson,£1.80m ,Serie A
Lucas Evangelista,£1.44m ,Serie A
Emil Hallfredsson,£1.35m ,Serie A
Panagiotis Kone,£1.35m ,Serie A
Assane Gnoukouri,£900Th. ,Serie A
Luca Magnino,£135Th. ,Serie A
Ewandro Costa,£900Th. ,Serie A
Panagiotis Armenakas,£135Th. ,Serie A
Ryder Matos,£1.98m ,Serie A
Cyril Théréau,£1.35m ,Serie A
Franck Djoulou,£68Th. ,Serie A
DuvÃ¡n Zapata,£7.65m ,Serie A
Adalberto Peñaranda,£2.70m ,Serie A
Stipe Perica,£2.70m ,Serie A
Hamdi Harbaoui,£810Th. ,Serie A
Mathias Ranégie,£360Th. ,Serie A
Andrea Consigli,£7.20m ,Serie A
Gianluca Pegolo,£180Th. ,Serie A
Bryan Costa,£113Th. ,Serie A
Alberto Pomini,£90Th. ,Serie A
Leonardo Vitali,£68Th. ,Serie A
Francesco Scavo,£23Th. ,Serie A
Francesco Acerbi,£10.80m ,Serie A
Timo Letschert,£2.25m ,Serie A
Lorenzo Ariaudo,£1.08m ,Serie A
Luca Antei,£900Th. ,Serie A
Emanuele Terranova,£720Th. ,Serie A
Paolo Cannavaro,£270Th. ,Serie A
Leonardo Fontanesi,£225Th. ,Serie A
Luca Ravanelli,£90Th. ,Serie A
Martin Erlic,£90Th. ,Serie A
Manuel Ferrini,£68Th. ,Serie A
Federico Peluso,£900Th. ,Serie A
Cristian Dell'Orco,£900Th. ,Serie A
Pol Lirola,£3.60m ,Serie A
Claud Adjapong,£1.35m ,Serie A
Marcello Gazzola,£360Th. ,Serie A
Simone Missiroli,£3.60m ,Serie A
Francesco Magnanelli,£2.25m ,Serie A
Leonardo Sarzi Maddidini,£68Th. ,Serie A
Lorenzo Pellegrini,£10.80m ,Serie A
Alfred Duncan,£7.65m ,Serie A
Stefano Sensi,£4.05m ,Serie A
Luca Mazzitelli,£1.80m ,Serie A
Alberto Aquilani,£900Th. ,Serie A
Giovanni Sbrissa,£630Th. ,Serie A
Davide Biondini,£270Th. ,Serie A
Simone Franchini,£90Th. ,Serie A
Marius Marin,£68Th. ,Serie A
Karim Laribi,£900Th. ,Serie A
Nicola Sansone,£14.40m ,Serie A
Antonino Ragusa,£1.80m ,Serie A
Nicholas Pierini,£315Th. ,Serie A
Giacomo Zecca,£180Th. ,Serie A
Domenico Berardi,£22.50m ,Serie A
Matteo Politano,£6.75m ,Serie A
Federico Ricci,£3.15m ,Serie A
Simone Caputo,£135Th. ,Serie A
Grégoire Defrel,£8.10m ,Serie A
Diego Falcinelli,£4.50m ,Serie A
Marcello Trotta,£2.25m ,Serie A
Pietro Iemmello,£1.35m ,Serie A
Alessandro Matri,£810Th. ,Serie A
Gianluca Scamacca,£135Th. ,Serie A
Emiliano Viviano,£3.60m ,Serie A
Christian Puggioni,£270Th. ,Serie A
Andrea Tozzo,£158Th. ,Serie A
Wladimiro Falcone,£135Th. ,Serie A
Titas Krapikas,£113Th. ,Serie A
Pietro Cavagnaro,£23Th. ,Serie A
Gergely Hutvágner, ,Serie A
Milan Skriniar,£6.30m ,Serie A
Matías Silvestre,£1.80m ,Serie A
Luka Krajnc,£1.62m ,Serie A
Lorenco Simic,£900Th. ,Serie A
Dodô,£2.25m ,Serie A
Vasco Regini,£2.25m ,Serie A
Daniel Pavlovic,£720Th. ,Serie A
Stanley Amuzie,£270Th. ,Serie A
Djamel Mesbah,£270Th. ,Serie A
Lorenzo De Silvestri,£3.15m ,Serie A
Jacopo Sala,£2.25m ,Serie A
Bartosz Bereszynski,£1.80m ,Serie A
Michal Tomic,£180Th. ,Serie A
Lucas Torreira,£8.10m ,Serie A
Luca Cigarini,£1.80m ,Serie A
Angelo Palombo,£180Th. ,Serie A
Dennis Praet,£7.65m ,Serie A
Karol Linetty,£6.75m ,Serie A
David Ivan,£1.62m ,Serie A
Édgar Barreto,£1.35m ,Serie A
Mirko Eramo,£630Th. ,Serie A
Denis Baumgartner,£293Th. ,Serie A
Andrea Tessiore,£90Th. ,Serie A
Pedro Pereira,£1.80m ,Serie A
Bruno Fernandes,£6.75m ,Serie A
Ricardo Álvarez,£3.60m ,Serie A
Carlos Carbonero,£2.25m ,Serie A
Filip Djuricic,£2.25m ,Serie A
Antonio Cassano,£270Th. ,Serie A
Luis Muriel,£15.30m ,Serie A
Patrik Schick,£13.50m ,Serie A
Fabio Quagliarella,£1.80m ,Serie A
Ante Budimir,£1.35m ,Serie A
Giacomo Vrioni,£248Th. ,Serie A
Ibourahima Baldé,£180Th. ,Serie A
Antonio Mirante,£1.80m ,Serie A
Alfred Gomis,£1.62m ,Serie A
Angelo da Costa,£450Th. ,Serie A
Federico Ravaglia,£68Th. ,Serie A
Mouhamadou Sarr,£68Th. ,Serie A
Emanuele Monari,£23Th. ,Serie A
Luca Rossettini,£2.25m ,Serie A
Marios Ikonomou,£1.62m ,Serie A
Filip Helander,£1.35m ,Serie A
Alex Ferrari,£1.08m ,Serie A
Daniele Gastaldello,£540Th. ,Serie A
Nicolò Cherubin,£360Th. ,Serie A
Domenico Maietta,£360Th. ,Serie A
Deian Boldor,£270Th. ,Serie A
Fabrizio Brignani,£68Th. ,Serie A
Alessandro Bianconi,£68Th. ,Serie A
Adam Masina,£3.60m ,Serie A
Archimede Morleo,£270Th. ,Serie A
Gianluca Frabotta,£113Th. ,Serie A
Ibrahima Mbaye,£2.70m ,Serie A
Emil Krafth,£1.62m ,Serie A
Vasilios Torosidis,£720Th. ,Serie A
Luca Ceccarelli,£135Th. ,Serie A
Amadou Diawara,£13.50m ,Serie A
Federico Viviani,£3.15m ,Serie A
Ádám Nagy,£3.15m ,Serie A
Lorenzo Crisetig,£2.70m ,Serie A
Erick Pulgar,£1.80m ,Serie A
Mattia Cozzari,£113Th. ,Serie A
Saphir Taider,£4.50m ,Serie A
Godfred Donsah,£4.50m ,Serie A
Blerim Dzemaili,£2.70m ,Serie A
Luca Rizzo,£2.25m ,Serie A
Juan Manuel Valencia,£450Th. ,Serie A
Giordano Trovade,£68Th. ,Serie A
Vincenzo Silvestro,£68Th. ,Serie A
Simone Verdi,£5.40m ,Serie A
Franco Brienza,£270Th. ,Serie A
Ladislav Krejci,£4.50m ,Serie A
Federico Di Francesco,£2.25m ,Serie A
Anthony Mounier,£1.80m ,Serie A
Orji Okwonkwo,£360Th. ,Serie A
Aaron Mattia Tabacchi,£113Th. ,Serie A
Mattia Destro,£7.20m ,Serie A
